Yıl,Albüm,Satış ve sertifikalar
1977,"Allahaısmarladık Tarih: 1 Eylül 1977 Format: MC, LP, CD",
1978,"Serçe Tarih: 1 Temmuz 1978 Format: MC, LP, CD",
1980,"Sevgilerimle Tarih: 26 Ağustos 1980 Format: MC, LP, CD",
1981,"Ağlamak Güzeldir Tarih: 1 Ocak 1981 Format: MC, LP, CD",
1982,"Firuze Tarih: 2 Temmuz 1982 Format: MC, LP, CD",
1984,"Sen Ağlama Tarih: 2 Nisan 1984 Format: MC, LP, CD",
1986,"Git Tarih: 2 Eylül 1986 Format: MC, LP, CD",
1988,"Sezen Aksu'88 Tarih: 22 Şubat 1988 Format: MC, LP, CD",
1989,"Sezen Aksu Söylüyor Tarih: 7 Temmuz 1989 Format: MC, CD",Türkiye: 1.650.000[1]
1991,"Gülümse Tarih: 16 Temmuz 1991 Format: MC, CD",Türkiye: 1.720.000[1]
1993,"Deli Kızın Türküsü Tarih: 17 Eylül 1993 Format: MC, CD",Türkiye: 700.000[1]
1995,"Işık Doğudan Yükselir Tarih: 28 Haziran 1995 Format: MC, CD",Türkiye: 600.000[1]
1996,"Düş Bahçeleri Tarih: 14 Temmuz 1996 Format: MC, CD",Türkiye: 520.000[1]
1997,"Düğün ve Cenaze Tarih: 22 Aralık 1997 Format: MC, CD",Türkiye: 230.000[1]
1998,"Adı Bende Saklı Tarih: 20 Aralık 1998 Format: MC, CD",Türkiye: 700.000[1]
2000,"Deliveren Tarih: 2 Haziran 2000 Format: MC, CD",
2002,"Şarkı Söylemek Lazım Tarih: 8 Mayıs 2002 Format: MC, CD",MÜ-YAP sertifikası: Diamond (300.000) Türkiye: 500.000[2]
2003,"Yaz Bitmeden Tarih: 6 Ağustos 2003 Format: MC, CD",
2005,"Bahane Tarih: 10 Şubat 2005 Format: MC, CD, LP",MÜ-YAP sertifikası: Diamond (300.000) Türkiye: 421.200[2]
2008,"Deniz Yıldızı Tarih: 18 Haziran 2008 Format: MC, CD",
2009,"Yürüyorum Düş Bahçeleri'nde... Tarih: 5 Haziran 2009 Format: MC, CD",
2011,"Öptüm Tarih: 23 Mayıs 2011 Format: MC, CD",
2017,"Biraz Pop Biraz Sezen Tarih: 18 Ocak 2017 Format: MC, CD",
2018,"Demo Tarih: 4 Aralık 2018 Format: MC, CD",
