Yıl,Şarkı,Albüm
1985,"""Küçük Bir Aşk Masalı""",İkinci Bahar
2000,"""Ben Her Bahar Aşık Olurum""",Bir Sevgi Yeter
2000,"""Yüzünü Dökme Küçük Kız""",Şarkılar Bir Oyundur...
2002,"""Sakız Hanım ve Mahur Bey""",Yüreğimdeki Barış Şarkıları
2003,"""Sen Misin?""",Uluslararası Ödüllü Selmi Andak Şarkıları
2003,"""Karşı Pencere"" · ""Şarkı Söylemek Lazım""",La finestra di fronte film müzikleri
2004,"""Sevgili""",Söz Vermiş Şarkılar
2006,"""Melankoli""",41 Kere Maşallah
2006,"""Sebahat Abla"" (Müslüm Gürses ile)",Aşk Tesadüfleri Sever
2006,"""Tempo""",Tempo
2007,"""Yine Yeni Yeniden""",Onno Tunç Şarkıları
2007,"""1980""",Çeyrek
2007,"""Paramparça"" (Teoman ile)",Söz Müzik Teoman
2007,"""Kır Çiçeği"" (Suzan Kardeş ile)",Bekriya
2008,"""O Kadın""",Çınar Vol.1
2008,"""Şanıma İnanma""",Un giorno perfetto film müzikleri
2008,"""L'al""",İz (Fahir Atakoğlu albümü)
2008,"""Güldünya""",Güldünya Şarkıları
2008,"""Küçüğüm""",Uzay Heparı - Sonsuza
2008,"""Selanik Türküsü""",Bekriya II - Balkania
2008,"""O Kadın""",Çınar Vol. I
2009,"""The Cure"" (India. Arie ile)","Testimony: Vol. 2, Love & Politics"
2009,"""Eğreti Gelin""",Makyaj Odası Şarkıları
2010,"""Kutlama""",Mine Vaganti film müzikleri
2010,"""Kaybolan Yıllar""",130 Bpm
2011,"""Gidiyorum""",130 Bpm Allegro
2012,"""Gitmem Daha"" · ""Sude"" · ""La sera della prima""",Magnifica Presenza film müzikleri
2012,"""El Gibi""",Keşke Burada Olsaydın (Kürşat Başar albümü)
2012,"""Akşam Güneşi""",Orhan Gencebay ile Bir Ömür
2013,"""Sır""",Aysel'in
2013,"""İstanbul Yokmuş Bundan Başka""",Kayıp Şehir dizi müzikleri
2014,"""Ağladıkça""",...bir eksiğiz
2014,"""Odalarda Işıksızım""",Kayahan En İyileri No.1
2016,"""Ben Öyle Birini Sevdim ki""",Delibal film müzikleri
2016,"""Ben İmkansız Aşklar İçin Yaratılmışım"" (Erol Evgin ile)""",Altın Düetler
2016,"""Günlerimiz""","Livaneli 50. Yıl ""Bir Kuşaktan Bir Kuşağa"""
2017,"""Ceylan"" (Tarkan ile) · ""Şahane Bir Şey Yaşamak""",Alakasız Şarkılar
2017,"""İyileşiyorum"" (Özgen Akçetin ile)",En Samimisinden Alakasız Şarkılar
2018,"""İhtimal Ki""",Cebimdeki Yabancı film müzikleri
2018,"""Perişanım Şimdi"" (Muazzez Abacı ile)",Sezen'imin Şarkıları
2018,"""Veda""",Kürk Mantolu Madonna tiyatro müzikleri
2018,"""Gitme Kal Bu Şehirde""",Ve Nazan Öncel Şarkıları
2019,"""Tanrı Misafiri""",Fikret Şeneş Şarkıları
2019,"""Kara Geceler"" (Şanışer ile)",-
2020,"""Bir Vurgun Bu Sevda""",Attila Özdemiroğlu Besteleri
