"PRACTICE
RACE
LINEUP
QUALIFYING","PRACTICE
RACE
LINEUP
QUALIFYING","1
EI"
"POS
DRIVER",STARTING POS,FINAL STATUS
"KYLE LARSON
1
5",16,RUNNING
"BUBBA WALLACE
* 2
23",10,RUNNING
"TYLER REDDICK
* 3
45",20,RUNNING
"CHASE BRISCOE
* 4
14",5,RUNNING
"CHASE ELLIOTT
*
5",13,RUNNING
"RYAN BLANEY
*
6
12",,RUNNING
"DANIEL SUÁREZ
7
99-",1,RUNNING
"ERIK JONES
*
8
43",21,RUNNING
"TY GIBBS
9
54",23,RUNNING
"JOEY LOGANO
*
10
22",3,RUNNING
 , , 
 , , 
"ROSS CHASTAIN
11
1|",18,RUNNING
"CHRISTOPHER BELL
12 20",7,RUNNING
"DENNY HAMLIN
13",9,RUNNING
"MARTIN TRUEX JR
14
19",12,RUNNING
"JOSH BERRY
15
48",22,RUNNING
"CHRIS BUESCHER
16
17",2,RUNNING
"AUSTIN DILLON
17
3",4,RUNNING
"KEVIN HARVICK
18
29",15,RUNNING
"BRAD KESELOWSKI
19
6",8,RUNNING
"WILLIAM BYRON
20
24",6,RUNNING
"AUSTIN CINDRIC
21 2",17,RUNNING
"KYLE BUSCH
22 8",14,RUNNING
"NOAH GRAGSON
23
42",24,RUNNING
"RICKY STENHOUSE JR
24 4
47",19,RUNNING
