Yıl,Şarkı,Albüm
1988,"""Sarışın""",Sezen Aksu'88
1988,"""El Gibi""",Sezen Aksu'88
1988,"""Sultan Süleyman""",Sezen Aksu'88
1988,"""Seni İstiyorum""",Sezen Aksu'88
1988,"""Oldu Mu?""",Sezen Aksu'88
1988,"""Kavaklar""",Sezen Aksu'88
1989,"""Şinanay""",Sezen Aksu Söylüyor
1989,"""Belalım""",Sezen Aksu Söylüyor
1989,"""Gidiyorum""",Sezen Aksu Söylüyor
1990,"""Beni Kategorize Etme""",Sezen Aksu Söylüyor
1990,"'Bırak Beni""",Sezen Aksu Söylüyor
1991,"""Hadi Bakalım""",Gülümse
1991,"""Ne Kavgam Bitti Ne Sevdam""",Gülümse
1991,"""Gülümse""",Gülümse
1991,"""Herşeyi Yak""",Gülümse
1992,"""Tutsak""",Gülümse
1992,"""Namus""",Gülümse
1992,"""Sakin Ol"" (Klipte rol aldı)",Sakin Ol!
1993,"""Masum Değiliz""",Deli Kızın Türküsü
1993,"""Deli Kızın Türküsü""",Deli Kızın Türküsü
1993,"""Adem Olan Anlar""",Deli Kızın Türküsü
1993,"""Kalbim Ege'de Kaldı""",Deli Kızın Türküsü
1994,"""Sude""",Deli Kızın Türküsü
1994,"""Homini Pufidi Tumba""",Deli Kızın Türküsü
1994,"""Dert Faslı""",Deli Kızın Türküsü
1995,"""Onu Alma Beni Al""",Işık Doğudan Yükselir
1995,"""Alâturka""",Işık Doğudan Yükselir
1995,"""Ne Ağlarsın""",Işık Doğudan Yükselir
1996,"""Paşa Gönlüm"" (Klipte kısa bir süre gözüktü)",Zerrin Özer
1996,"'Seni Yerler""",Düş Bahçeleri
1996,"""Yarası Saklım""",Düş Bahçeleri
1997,"""Bile Bile""",Düş Bahçeleri
1997,"""Allah'ın Varsa""",Düğün ve Cenaze
1998,"""Erkekler (Etnik Mix)""",Düğün ve Cenaze
1998,"""Hıdırellez""",Düğün ve Cenaze
1998,"""Kalaşnikof""",Düğün ve Cenaze
1998,"""Tutuklu""",Adı Bende Saklı
1999,"""Adı Bende Saklı""",Adı Bende Saklı
1999,"""Ruhuma Asla""",Adı Bende Saklı
1999,"""Sarı Odalar""",Deliveren
,"""Oh Oh""",Deliveren
,"""Keskin Bıçak""",Deliveren
2003,"""Farkındayım""",Yaz Bitmeden
2005,"""Perişanım Şimdi""",Bahane
2005,"""Eskidendi, Çok Eskiden",Bahane
2005,"""Kardelen""",Kardelen
2006,"""Yanmışım Sönmüşüm Ben""",Bahane
2006,"""Yaşanmamış Yıllar""",.
2008,"""Beşik""",Denizyıldızı
2011,"'Kaybolan Yıllar (Remiks)"" (ft. Ozan
Doğulu)",130 Bpm
,"""Unuttun Mu Beni?""",Öptüm
,"""Vav""",Öptüm
2014,"""""Yeni ve Yeni Kalanlar""",Yeni ve Yeni Kalanlar
,"'İhanetten Geri Kalan""",Biraz Pop Biraz Sezen
,"""Manifesto""",Biraz Pop Biraz Sezen
