Yıl,Albüm,Satış ve sertifikalar
1996,"Cumartesi Türküsü
Tarih: 9 Nisan 1996
Format: MC (Promo-Satışa çıkmamıştır)",
1998,"Erkekler
· Tarih: 27 Şubat 1998
.
Format: MC",10.000[1]
1999,"Sarı Odalar
· Tarih: 5 Eylül 1999
Format: MC, CD",
2001,"Remix Maxi Single
. Tarih: 3 Ağustos 2001
· Format: CD (Promo-Satışa çıkmamıştır)",
2005,"Kardelen
Tarih: 10 Eylül 2005
· Format: MC, CD, Dijital","MÜ-YAP sertifikası: Diamond (300.000)
Türkiye: 350.000[2]"
2006,"Tempo
· Tarih: 12 Ağustos 2006
Format: CD, Dijital",
2014,"Yeni ve Yeni Kalanlar
· Tarih: 27 Ağustos 2014
Format: Dijital, CD",
2015,"Çaya Güzelleme (Eksik Olma)
Tarih: 9 Temmuz 2015
· Format: Dijital",
2018,"Geçmişe Susmasını Söyle (Nuri Harun Ateş ile birlikte)
· Tarih: 18 Aralık 2018
Format: Dijital",
2019,"Geçmişe Susmasını Söyle (Ogün Dalka Remix) (Nuri Harun Ateş ile birlikte)
Tarih: 18 Haziran 2019
.
Format: Dijital",
2019,"Geçmişe Susmasını Söyle (Bilal Karaman Akustik Versiyon) (Nuri Harun Ateş ile birlikte)
· Tarih: 18 Haziran 2019
· Format: Dijital",
2020,"Yetinmeyi Bilir misin?
· Tarih: 17 Ocak 2020
· Format: Dijital",
2020,"Ben de Yoluma Giderim
· Tarih: 21 Şubat 2020
· Format: Dijital",
2020,"Ne Yapayım Şimdi Ben?
.
Tarih: 10 Nisan 2020
· Format: Dijital",
,Kaybedenler,
2020,"Tarih: 15 Mayıs 2020
Format: Dijital",
2020,"Konduramadım (feat. Okay Barış)
· Tarih: 19 Haziran 2020
· Format: Dijital",
2020,"Karşıyım
· Tarih: 17 Temmuz 2020
· Format: Dijital",
,Kendimce,
2020,"· Tarih: 2 Ekim 2020
· Format: Dijital",
,Sen Ciddisin,
2020,"Tarih: 20 Kasım 2020
Format: Dijital",
2021,"İnsanlık Hali
Tarih: 1 Ocak 2021
Format: Dijital",
,Affet,
2021,"· Tarih: 3 Şubat 2021
· Format: Dijital",
2021,"Hakim Bey (feat. Kardeş Türküler & Ara Dinkjian)
Tarih: 2 Nisan 2021
· Format: Dijital",
2021,"Hakim Bey (Kivanch K. Rearrange)
· Tarih: 9 Nisan 2021
· Format: Dijital",
2021,"Deli Divane
· Tarih: 11 Haziran 2021
· Format: Dijital",
2021,"Onursuz Olabilir Aşk
Tarih: 16 Temmuz 2021
Format: Dijital",
2021,"Yandı İçim
· Tarih: 17 Eylül 2021
· Format: Dijital",
2021,"Belki de Aşk Lazım Değildir
Tarih: 26 Kasım 2021
Format: Dijital",
2022,"Ninni
.
Tarih: 4 Mart 2022
.
Format: Dijital",
2022,"Her Şeye Rağmen
.
Tarih: 29 Nisan 2022
· Format: Dijital",
2022,"Yavrucanım (İyilikle Büyüsün) (feat. Sertab Erener)
Tarih: 20 Mayıs 2022
Format: Dijital",
,Rütbe,
2022,"· Tarih: 29 Temmuz 2022
Format: Dijital",
